Structure from extended XYZ

3200 atoms
2 atom types

0.0000000000 139.3709716797 xlo xhi
0.0000000000 120.6987927455 ylo yhi
0.0000000000 20.7558555603 zlo zhi
-69.6855019119 0.0000000000 0.0000000000 xy xz yz

Masses

1 51.996000 # Cr
2 126.904000 # I

Atoms # spin

1 1       5.8132600028       0.6670061513       6.9186187207  -0.390   0.616  -0.684   3.000
2 1       2.3289849072       6.7019457885       6.9186187207  -0.562   0.563  -0.606   3.000
3 1      -1.1552899794      12.7368850637       6.9186187207   0.013   0.335  -0.942   3.000
4 1      -4.6395654234      18.7718253045       6.9186187207  -0.010   0.717   0.697   3.000
5 1      -8.1238403099      24.8067645797       6.9186187207   0.822  -0.099   0.561   3.000
6 1     -11.6081162417      30.8417056653       6.9186187207   0.713  -0.448  -0.540   3.000
7 1     -15.0923900830      36.8766431300       6.9186187207   0.558   0.360  -0.748   3.000
8 1     -18.5766660148      42.9115842157       6.9186187207  -0.389   0.473  -0.790   3.000
9 1     -22.0609398561      48.9465216804       6.9186187207   0.951   0.006   0.309   3.000
10 1     -25.5452157879      54.9814627660       6.9186187207  -0.514   0.610  -0.603   3.000
11 1     -29.0294896292      61.0164002307       6.9186187207  -0.124   0.441  -0.889   3.000
12 1     -32.5137655610      67.0513413164       6.9186187207   0.263   0.809   0.526   3.000
13 1     -35.9980414928      73.0862824021       6.9186187207   0.730  -0.614   0.300   3.000
14 1     -39.4823174246      79.1212234877       6.9186187207  -0.424   0.304  -0.853   3.000
15 1     -42.9665933564      85.1561645734       6.9186187207  -0.958   0.021   0.287   3.000
16 1     -46.4508651071      91.1910984171       6.9186187207   0.447  -0.865  -0.227   3.000
17 1     -49.9351410390      97.2260395028       6.9186187207  -0.979  -0.132  -0.153   3.000
18 1     -53.4194169708     103.2609805884       6.9186187207   0.959   0.278   0.046   3.000
19 1     -56.9036929026     109.2959216741       6.9186187207   0.092  -0.004  -0.996   3.000
20 1     -60.3879688344     115.3308627598       6.9186187207   0.155   0.129  -0.979   3.000
21 1      12.7818081686       0.6670061513       6.9186187207  -0.439  -0.776   0.453   3.000
22 1       9.2975330730       6.7019457885       6.9186187207  -0.266  -0.952   0.150   3.000
23 1       5.8132581865      12.7368850637       6.9186187207  -0.037  -0.982  -0.183   3.001
24 1       2.3289827425      18.7718253045       6.9186187207   0.250  -0.525   0.814   3.000
25 1      -1.1552921441      24.8067645797       6.9186187207  -0.760  -0.450   0.469   3.000
26 1      -4.6395680759      30.8417056653       6.9186187207  -0.745   0.661   0.086   3.000
27 1      -8.1238419171      36.8766431300       6.9186187207   0.749   0.608   0.264   3.000
28 1     -11.6081178490      42.9115842157       6.9186187207   0.663   0.747   0.058   3.000
29 1     -15.0923916902      48.9465216804       6.9186187207  -0.261   0.951   0.163   2.999
30 1     -18.5766676220      54.9814627660       6.9186187207  -0.265  -0.962   0.057   3.000
31 1     -22.0609414633      61.0164002307       6.9186187207  -0.014  -0.314  -0.949   3.000
32 1     -25.5452173951      67.0513413164       6.9186187207   0.489  -0.027   0.872   3.000
33 1     -29.0294933269      73.0862824021       6.9186187207  -0.285   0.537  -0.794   3.000
34 1     -32.5137692587      79.1212234877       6.9186187207  -0.663  -0.484  -0.572   3.000
35 1     -35.9980451906      85.1561645734       6.9186187207   0.880  -0.091   0.467   3.000
36 1     -39.4823169413      91.1910984171       6.9186187207  -0.340   0.453   0.824   3.000
37 1     -42.9665928731      97.2260395028       6.9186187207  -0.006  -0.918   0.397   3.001
38 1     -46.4508688049     103.2609805884       6.9186187207   0.717   0.683  -0.140   3.000
39 1     -49.9351447367     109.2959216741       6.9186187207   0.305  -0.767   0.565   3.000
40 1     -53.4194206685     115.3308627598       6.9186187207  -0.215   0.147  -0.966   3.000
41 1      19.7503563345       0.6670061513       6.9186187207   0.580   0.008   0.814   3.000
42 1      16.2660812389       6.7019457885       6.9186187207  -0.224  -0.076  -0.972   3.000
43 1      12.7818063524      12.7368850637       6.9186187207   0.574  -0.537  -0.618   3.000
44 1       9.2975309084      18.7718253045       6.9186187207  -0.347   0.869  -0.354   3.000
45 1       5.8132560218      24.8067645797       6.9186187207  -0.666   0.277  -0.692   2.999
46 1       2.3289800900      30.8417056653       6.9186187207  -0.164  -0.573  -0.803   3.000
47 1      -1.1552937513      36.8766431300       6.9186187207   0.412  -0.702  -0.581   3.000
48 1      -4.6395696831      42.9115842157       6.9186187207  -0.479   0.814   0.328   3.001
49 1      -8.1238435243      48.9465216804       6.9186187207  -0.048   0.812   0.582   3.000
50 1     -11.6081194562      54.9814627660       6.9186187207  -0.492  -0.647  -0.583   3.000
51 1     -15.0923932974      61.0164002307       6.9186187207   0.860  -0.240  -0.451   3.000
52 1     -18.5766692292      67.0513413164       6.9186187207  -0.094  -0.292   0.952   3.000
53 1     -22.0609451611      73.0862824021       6.9186187207  -0.743   0.315   0.590   3.000
54 1     -25.5452210929      79.1212234877       6.9186187207   0.856   0.510   0.087   3.000
55 1     -29.0294970247      85.1561645734       6.9186187207   0.846   0.092  -0.526   3.000
56 1     -32.5137687754      91.1910984171       6.9186187207   0.591   0.618  -0.518   3.000
57 1     -35.9980447072      97.2260395028       6.9186187207   0.947   0.031  -0.318   3.000
58 1     -39.4823206390     103.2609805884       6.9186187207   0.015  -0.915  -0.402   3.000
59 1     -42.9665965709     109.2959216741       6.9186187207  -0.256  -0.925   0.281   3.000
60 1     -46.4508725027     115.3308627598       6.9186187207  -0.018   0.815   0.579   3.000
61 1      26.7189065909       0.6670061513       6.9186187207   0.788  -0.375   0.489   3.000
62 1      23.2346314954       6.7019457885       6.9186187207   0.270  -0.962   0.053   3.000
63 1      19.7503566088      12.7368850637       6.9186187207   0.083   0.699   0.711   3.000
64 1      16.2660811648      18.7718253045       6.9186187207  -0.336   0.387   0.858   3.000
65 1      12.7818062783      24.8067645797       6.9186187207   0.867   0.489  -0.095   3.000
66 1       9.2975303464      30.8417056653       6.9186187207  -0.961   0.204  -0.187   3.000
67 1       5.8132565052      36.8766431300       6.9186187207  -0.936   0.209  -0.284   3.000
68 1       2.3289805734      42.9115842157       6.9186187207   0.507  -0.076  -0.858   3.000
69 1      -1.1552932679      48.9465216804       6.9186187207  -0.534   0.566   0.628   3.000
70 1      -4.6395691997      54.9814627660       6.9186187207  -0.005   0.928  -0.373   3.000
71 1      -8.1238430410      61.0164002307       6.9186187207  -0.114   0.026  -0.993   3.000
72 1     -11.6081189728      67.0513413164       6.9186187207   0.099   0.977   0.190   3.000
73 1     -15.0923949046      73.0862824021       6.9186187207   0.070  -0.600   0.797   3.000
74 1     -18.5766708364      79.1212234877       6.9186187207   0.878  -0.178   0.445   3.000
75 1     -22.0609467683      85.1561645734       6.9186187207  -0.327  -0.092   0.941   3.000
76 1     -25.5452185190      91.1910984171       6.9186187207  -0.504   0.669  -0.546   3.000
77 1     -29.0294944508      97.2260395028       6.9186187207   0.114  -0.063  -0.991   3.000
78 1     -32.5137703826     103.2609805884       6.9186187207  -0.188   0.417  -0.889   3.000
79 1     -35.9980463144     109.2959216741       6.9186187207   0.499  -0.717  -0.486   3.000
80 1     -39.4823222462     115.3308627598       6.9186187207   0.242   0.359   0.902   3.000
81 1      33.6874547568       0.6670061513       6.9186187207  -0.573   0.779   0.253   3.000
82 1      30.2031796612       6.7019457885       6.9186187207  -0.601   0.529  -0.599   3.000
83 1      26.7189047747      12.7368850637       6.9186187207  -0.741  -0.640  -0.205   3.000
84 1      23.2346293307      18.7718253045       6.9186187207  -0.158   0.000   0.987   3.000
85 1      19.7503544441      24.8067645797       6.9186187207  -0.536  -0.653  -0.535   3.000
86 1      16.2660785123      30.8417056653       6.9186187207  -0.988   0.154  -0.022   3.000
87 1      12.7818046710      36.8766431300       6.9186187207   0.906  -0.108   0.410   3.000
88 1       9.2975287392      42.9115842157       6.9186187207   0.890   0.191   0.414   3.000
89 1       5.8132548980      48.9465216804       6.9186187207   0.215  -0.381  -0.899   3.000
90 1       2.3289789662      54.9814627660       6.9186187207  -0.645   0.372  -0.668   3.000
91 1      -1.1552948751      61.0164002307       6.9186187207  -0.796  -0.310  -0.520   3.000
92 1      -4.6395708069      67.0513413164       6.9186187207  -0.477  -0.792   0.381   3.000
93 1      -8.1238467387      73.0862824021       6.9186187207   0.452  -0.888  -0.077   3.000
94 1     -11.6081226706      79.1212234877       6.9186187207   0.366   0.766   0.529   3.000
95 1     -15.0923986024      85.1561645734       6.9186187207   0.472   0.849   0.236   3.000
96 1     -18.5766703531      91.1910984171       6.9186187207  -0.005   0.989  -0.149   3.000
