LAMMPS data file via write_data, version 2 Aug 2023, timestep = 193, units = metal

3200 atoms
2 atom types

0 139.3709716797 xlo xhi
0 120.6987927455 ylo yhi
0 20.7558555603 zlo zhi
-69.6855019119 0 0 xy xz yz

Masses

1 51.996
2 126.904

Atoms # spin

801 2 1.0911370777999998 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
2801 2 4.8091468658 2.6789535186 5.3483793632 0 0 1 0 0 0 0
821 2 8.0596855224 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
2821 2 11.777695589099995 2.6789535186 5.3483793632 0 0 1 0 0 0 0
841 2 15.028234245799995 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
2841 2 18.746244730600015 2.6789535186 5.3483793632 0 0 1 0 0 0 0
861 2 21.996782411700007 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
2861 2 25.7147928965 2.6789535186 5.3483793632 0 0 1 0 0 0 0
881 2 28.965330577500005 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
2881 2 32.6833410623 2.6789535186 5.3483793632 0 0 1 0 0 0 0
901 2 35.93387874340001 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
2901 2 39.65189131879997 2.6789535186 5.3483793632 0 0 1 0 0 0 0
921 2 42.9024289999 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
2921 2 46.62043739409997 2.6789535186 5.3483793632 0 0 1 0 0 0 0
941 2 49.8709792563 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
2941 2 53.58898765049997 2.6789535186 5.3483793632 0 0 1 0 0 0 0
961 2 56.8395253316 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
2961 2 60.55753372579997 2.6789535186 5.3483793632 0 0 1 0 0 0 0
981 2 63.808075588 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
2981 2 67.5260839823 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1001 2 70.7766258445 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
3001 2 74.4946300576 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1021 2 77.7451677387 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
3021 2 81.463180314 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1041 2 84.71371799510001 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
3041 2 88.4317305704 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1061 2 91.6822682515 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
3061 2 95.4002808269 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1081 2 98.650818508 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
3081 2 102.3688310833 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1101 2 105.6193687644 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
3101 2 109.3373729775 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1121 2 112.5879106586 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
3121 2 116.30592323390002 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1141 2 119.556460915 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
3141 2 123.2744734904 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1161 2 126.5250111714 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
3161 2 130.24302374679993 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1181 2 133.4935614279 0.5352291405 5.359216120000001 0 0 1 0 0 0 0
3181 2 137.21157400319993 2.6789535186 5.3483793632 0 0 1 0 0 0 0
1601 2 1.0858503045999983 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1621 2 8.054398888599998 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1641 2 15.022947054499998 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1661 2 21.9914952204 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1681 2 28.960045476799994 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1701 2 35.928593642699994 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1721 2 42.897139717999984 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1741 2 49.8656899744 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1761 2 56.8342402308 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1781 2 63.8027863062 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1801 2 70.7713365626 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1821 2 77.739886819 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1841 2 84.70843707549999 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1861 2 91.6769789696 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1881 2 98.64552922609997 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1901 2 105.61407948249995 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1921 2 112.58262973899994 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1941 2 119.55117999539995 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1961 2 126.5197218896 4.8280081969 5.3550036568 0 0 1 0 0 0 0
1981 2 133.488272146 4.8280081969 5.3550036568 0 0 1 0 0 0 0
802 2 -2.393137948100004 6.5701686571 5.359216120000001 0 0 1 0 0 0 0
822 2 4.575410496499993 6.5701686571 5.359216120000001 0 0 1 0 0 0 0
842 2 11.543959219899993 6.5701686571 5.359216120000001 0 0 1 0 0 0 0
862 2 18.5125073858 6.5701686571 5.359216120000001 0 0 1 0 0 0 0
882 2 25.4810555516 6.5701686571 5.359216120000001 0 0 1 0 0 0 0
902 2 32.44960371749998 6.5701686571 5.359216120000001 0 0 1 0 0 0 0
922 2 39.41815397389999 6.5701686571 5.359216120000001 0 0 1 0 0 0 0
942 2 46.38670423039999 6.5701686571 5.359216120000001 0 0 1 0 0 0 0
962 2 53.3552503057 6.5701686571 5.359216120000001 0 0 1 0 0 0 0
